Id text,Sampled date,Meetpunt,Status,ZICHT,T,KLEUR,GEUR,VUIL,pH,SENSHTE,SCHUIM,OLE,E,GELDHD,SALNTT,O2,%O2,WINDSHD,WINDRTG,LUCHTDK,Cl,SO4,NO2 N,NO3 N,NH4 N,PO4 P,DOC,Sili
,,,sample,714VP001,714VP002,714VP003,714VP004,714VP007,714VP008,714VP009,714VP017,714VP018,714VP019,714VP023,714VP024,714VP037,714VP038,714VP303,714VP304,714VP306,,114MB412,114MB101,114MB116,114MB102,114MB103,114MB049,114MB104
,,,,DIMSLS,°C,DIMSLS,DIMSLS,DIMSLS,DIMSLS,cm,DIMSLS,DIMSLS,/m,mS,DIMSLS,mS,DIMSLS,m/s,gradn,hPa,mg/L,mg/L,mg/L,mg/L,mg/L,ug/l,mg/L,mg/L
2018005591,16-8-2018 22:45,WALCRN20,Authorised,#N/B,20.9,0,0,0,8.17,-350,0,0,-999,#N/B,32.47,6.64,90,3,200,1013.7,#N/B,#N/B,0.005,0.0128,0.021,11.3,1.5474,0.2115
2018005592,12-9-2018 9:45,WALCRN20,Authorised,#N/B,18.8,0,0,0,8.91,-350,0,0,-999,#N/B,33.12,5.66,73.49,12,7,1019,#N/B,#N/B,0.0003,0.0043,0.0033,8.2,1.3251,0.0597
2018005593,17-10-2018 9:45,WALCRN20,Authorised,#N/B,16.2,0,0,0,9.21,-350,0,0,0.29813,#N/B,32.02,6.5,80.32,3.7,246,1017.8,#N/B,#N/B,0.0004,0.0016,0.0037,7.7,0.799,0.0538
2018005594,12-11-2018 21:21,WALCRN20,Authorised,#N/B,12.08,0,0,0,8.07,-350,0,0,-999,#N/B,33.01,7.82,93.1,12.9,193,1014.3,#N/B,#N/B,0.0058,0.0547,0.0368,13.5,1.2169,0.1185
2018005595,11-12-2018 0:21,WALCRN20,Authorised,#N/B,8.87,0,0,0,7.83,-350,0,0,-999,#N/B,33.46,8.26,88.45,9.2,228,1024.9,#N/B,#N/B,0.0053,0.1185,0.0814,17.4,0.9253,0.188
2018005596,23-1-2018 6:20,WALCRN70,Authorised,#N/B,8.38,0,0,0,7.98,-350,0,0,-999,#N/B,35.27,8.51,91.2,11.5,251,1016.8,#N/B,#N/B,0.0279,0.1062,0.0011,16.3,0.9635,0.0885
2018005597,13-2-2018 20:29,WALCRN70,Authorised,#N/B,7.8,0,0,0,8.1,-350,0,0,-999,#N/B,35.21,8.51,89.85,13,140,1005.5,#N/B,#N/B,0.0012,0.1117,0.0034,13.9,0.9808,0.0846
2018005598,14-3-2018 20:00,WALCRN70,Authorised,#N/B,6.36,0,0,0,7.26,-350,0,0,-999,#N/B,34.9,9.43,96.25,11.7,309,1000.8,#N/B,#N/B,0.0044,0.096,0.01,7.2,2.1024,0.0068
2018005599,19-4-2018 2:21,WALCRN70,Authorised,#N/B,8.46,0,0,0,8.46,-350,0,0,-999,#N/B,35.03,10,113.2,6,357,1025,#N/B,#N/B,0.0007,0.0037,0.0011,4.5,2.3544,0.0075
2018005600,16-5-2018 8:02,WALCRN70,Authorised,#N/B,10.91,-999,-999,-999,8.23,-350,-999,-999,-999,#N/B,34.2,9.86,109,5,10,1029,#N/B,#N/B,-999,-999,-999,-999,1.2391,-999
