Id text,Sampled date,Meetpunt,Status,ZICHT,T,KLEUR,GEUR,VUIL,pH,SENSHTE,SCHUIM,OLE,E,GELDHD,SALNT,O2,%O2,WINDSHD,WINDRTG,LUCHTDK
2018005592,10-9-2018 0:00,WALCRN20,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005593,15-10-2018 0:00,WALCRN20,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005594,12-11-2018 0:00,WALCRN20,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005595,10-12-2018 0:00,WALCRN20,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005596,23-1-2018 6:20,WALCRN70,Available,#N/B,8.38,0,0,0,7.98,-350,0,0,-999,#N/B,35.3,8.51,91.2,11.5,251,1020
2018005597,13-2-2018 20:29,WALCRN70,Available,#N/B,7.8,0,0,0,8.1,-350,0,0,-999,#N/B,35.2,8.51,89.8,13,140,1010
2018005598,14-3-2018 20:00,WALCRN70,Available,#N/B,6.36,0,0,0,7.26,-350,0,0,-999,#N/B,34.9,9.43,96.2,11.7,309,1000
2018005599,19-4-2018 2:21,WALCRN70,Available,#N/B,8.46,0,0,0,8.46,-350,0,0,-999,#N/B,35,10,113,6,357,1020
2018005600,16-5-2018 8:02,WALCRN70,Available,#N/B,10.9,-999,-999,-999,8.23,-350,-999,-999,-999,#N/B,34.2,9.86,109,5,10,1030
2018005601,11-6-2018 0:00,WALCRN70,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005602,16-7-2018 0:00,WALCRN70,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
