index,bottleid,datetime,station,salinity_rws,station_bottleid,salinity_nioz,dic,alk,pH_spectro_total_25_original,comments,comments1,Unnamed: 11,Unnamed: 12,lat,lon,depth,temperature,nitrite_gvol,nitrate_gvol,ammonia_gvol,phosphate_gvol,silicate_gvol,doc_gvol,pH_rws_total_insitu,chloride_gvol,sulfate_gvol,salinity,doc_vol,nitrate_vol,nitrite_vol,ammonia_vol,din_vol,silicate_vol,phosphate_vol,sulfate_vol,chloride_vol,density_nutrients,doc,nitrate,nitrite,ammonia,din,silicate,phosphate,sulfate,chloride,silicate_unc,phosphate_unc,nitrate_unc,nitrite_unc,ammonia_unc,doc_unc,gid,rgb,datenum,day_of_year
0,2018005572.0,2018-01-23 11:27:00,WALCRN2,31.23,WALCRN2_2018005572,31.2,2327.381385605772,2450.532467017899,7.709236303196362,,,,,51.54888888888889,3.410833333333333,3.5,5.46,0.0046,0.5958,0.0579,30.6,0.6619,1.5714,7.98,18271.3477,2543.5493,31.23,130.83442958719797,42.536315254209455,0.3284106246548565,4.133690253807868,46.99841613267218,23.567740786896923,0.9879329479569149,26478.755985842185,515389.97503631725,1.0210787645573765,128.13353301291394,41.658211619598575,0.3216310396947859,4.048355912680023,46.028198571973384,23.08121724293543,0.967538433124863,25932.138543024503,504750.4589518436,3.4621825864403144,0.24188460828121575,12.497463485879573,0.09648931190843577,0.6072533869020035,25.62670660258279,1,[[0.72 0.36 0.12]],736717.4770833333,23
1,2018005573.0,2018-02-13 16:12:00,WALCRN2,31.45,WALCRN2_2018005573,31.4,2322.2989349875556,2451.7110846403966,7.713209060083169,,,,,51.54888888888889,3.410833333333333,3.5,4.8,0.0055,0.6761,0.0374,33.3,0.651,1.5882,8.02,14281.2207,1339.0889,31.45,132.2331940119561,48.269222462858366,0.3926648773047197,2.6701211656720947,51.33200850583518,23.179633256186577,1.0751035021884072,13940.130127003955,402838.2635431505,1.0212452932357625,129.48230448434393,47.26506235335474,0.3844961439778895,2.6145737790496493,50.26413227638228,22.697419914409707,1.0527377793654233,13650.129130911711,394457.8900009208,3.404612987161456,0.26318444484135584,14.179518706006423,0.11534884319336684,0.3921860668574474,25.89646089686879,1,[[0.72 0.36 0.12]],736738.675,44
2,2018005574.0,2018-03-15 07:28:00,WALCRN2,31.3,WALCRN2_2018005574,31.3,2258.638907409581,2430.760241835119,7.829379108935671,,,,,51.54888888888889,3.410833333333333,3.5,4.14,0.005,0.4733,0.0674,9.7,0.2727,1.1966,7.13,18086.3457,2292.2927,31.3,99.6286613491416,33.79059753242252,0.35696807027701793,4.811929587334202,38.959495190033735,9.709809506854192,0.31316828742425074,23863.13449927129,510171.52165634756,1.0211317488703533,97.56690207640466,33.09132006697864,0.34958081625796156,4.712349403157322,38.15325028639393,9.508870444578632,0.30668744534747766,23369.300313764943,499613.8081307673,1.4263305666867947,0.07667186133686942,9.92739602009359,0.10487424487738846,0.7068524104735984,19.513380415280935,1,[[0.72 0.36 0.12]],736768.3111111111,74
3,2018005575.0,2018-04-18 22:14:00,WALCRN2,31.71,WALCRN2_2018005575,31.7,2158.5169536546987,2464.4290990807253,8.072238015969761,,,,,51.54888888888889,3.410833333333333,3.5,9.17,0.0032,0.2477,0.0073,3.7,0.0187,1.4798,8.56,18884.9707,2550.8892,31.71,123.20783308077864,17.68419820152347,0.2284595649772915,0.5211733826044461,18.433831149105206,0.6658358554388465,0.11945594468760082,26555.165521549032,532698.7772026573,1.021442124710843,120.62145284605056,17.31297131154605,0.22366373918832205,0.5102329050233596,18.046867955757733,0.6518586215810671,0.11694832413673682,25997.719184595462,521516.3584069508,0.09777879323716006,0.029237081034184206,5.193891393463815,0.06709912175649661,0.07653493575350394,24.124290569210114,1,[[0.72 0.36 0.12]],736802.9263888889,108
4,2018005576.0,2018-05-16 10:52:00,WALCRN2,31.76,WALCRN2_2018005576,31.8,2018.3605178341707,2438.5864192925405,8.251121675382594,,pH recalculated at 25oC  (TAlk as input variable),,,51.54888888888889,3.410833333333333,3.5,12.86,0.0014,0.0062,0.0132,4.8,0.0492,2.1709,8.45,18341.3984,2625.6101,31.76,180.74867200639434,0.4426404071435023,0.09995105967756501,0.9423957055313273,1.4849871723523946,1.7518248175182483,0.15496987418931996,27333.02206953987,517365.93374046235,1.021479980016884,176.94783602455604,0.43333243509695213,0.09784925953802143,0.9225787327870593,1.4537604274220328,1.7149869324793743,0.15171112231368303,26758.255280821155,506486.6114477455,0.25724803987190614,0.03792778057842076,0.12999973052908564,0.029354777861406427,0.13838680991805888,35.38956720491121,1,[[0.72 0.36 0.12]],736830.4527777778,136
5,2018005577.0,2018-06-11 16:01:00,WALCRN2,31.9,WALCRN2_2018005577,31.9,2146.5605410618946,2434.0153135909113,8.048322870592163,,pH recalculated at 25oC  (TAlk as input variable),,,51.54888888888889,3.410833333333333,3.5,15.67,0.002,-0.0011,0.0118,7.2,0.0202,1.4702,8.15,18957.5234,2593.5549,31.9,122.408539123774,-0.07853297546094395,0.14278722811080719,0.8424446458537622,0.9066988985036255,0.7192451486558661,0.23245481128397996,26999.322298563395,534745.3111998083,1.0215859802103882,119.8220624548556,0.0,0.13977015236779305,0.8246438989699789,0.8875404675354859,0.7040475912832543,0.22754307105517207,26428.830095145866,523446.2116342683,0.10560713869248815,0.05688576776379302,0.0,0.041931045710337914,0.12369658484549684,23.96441249097112,1,[[0.72 0.36 0.12]],736856.6673611111,162
6,2018005578.0,2018-07-18 17:25:00,WALCRN2,31.75,WALCRN2_2018005578,31.8,2195.08251953125,2470.864013838429,8.010165323777796,"CT Recalcuated (AT & pH), CT Vindta analysis incorrect",pH recalculated at 25oC  (TAlk as input variable),,,51.54888888888889,3.410833333333333,3.5,19.95,0.0038,0.0031,0.0152,6.9,0.0292,1.7921,8.2,18009.3418,2483.6934,31.75,149.20986461958603,0.22132020357175114,0.27129573341053365,1.0851829336421346,1.5777988706244193,1.0397009079579846,0.22276919414714746,25855.64647095565,507999.43020746653,1.0214724088755152,146.07331859687062,0.2166678234759085,0.26559281587369427,1.062371263494777,1.5446319028443798,1.0178453171364035,0.21808635476741095,25312.133980612125,497320.7556009234,0.15267679757046052,0.05452158869185274,0.06500034704277255,0.07967784476210828,0.15935568952421655,29.214663719374126,1,[[0.72 0.36 0.12]],736893.7256944445,199
7,2018005579.0,2018-08-16 21:30:00,WALCRN2,31.92,No Sample,,,,,,,,,51.54888888888889,3.410833333333333,3.5,20.69,0.0117,0.0419,0.0981,27.4,0.3991,1.7917,8.06,17717.416,2592.0879,31.92,149.17656070471085,2.99139242892141,0.835305284448222,7.003713538835092,10.830411252204724,14.210432615275058,0.8846196984973681,26984.050593379136,499764.91826862056,1.0216011237381644,146.02231461811186,2.928141286665325,0.8176432709781457,6.855624348970606,10.601408906614076,13.909961809044741,0.8659149622510551,26413.489537522404,489197.698256164,2.086494271356711,0.21647874056276378,0.8784423859995975,0.2452929812934437,1.0283436523455909,29.204462923622373,1,[[0.72 0.36 0.12]],736922.8958333334,228
8,2018005580.0,2018-09-12 11:06:00,WALCRN2,32.38,WALCRN2_2018005580,32.5,2200.1834867573903,2424.0253765044145,7.926633333333334,Salinity measured with NIOZ Conductivity Probe,,,,51.54888888888889,3.410833333333333,3.5,18.7,0.0052,0.0177,0.0376,13.0,0.1772,0.9361,8.86,15155.9102,1881.0181,32.38,77.93948678667178,1.2636669687806434,0.37124679308809866,2.684399888483175,4.319313650351917,6.309417838703934,0.41971007592940823,19581.69997917968,427511.11236478016,1.021949469444168,76.26549953498443,1.236525881722845,0.3632731403931522,2.626744245919716,4.226543268035714,6.1739039231906325,0.41069552700847917,19161.123484735548,418329.0124875752,0.9260855884785948,0.10267388175211979,0.3709577645168535,0.10898194211794567,0.39401163688795743,15.253099906996887,1,[[0.72 0.36 0.12]],736949.4625,255
9,2018005581.0,2018-10-17 10:59:00,WALCRN2,32.55,WALCRN2_2018005581,32.55,2209.0010459148675,2418.64988601281,7.8834333333333335,,,,,51.54888888888889,3.410833333333333,3.5,16.48,0.0037,0.016,0.0284,11.8,0.0966,1.2138,9.12,20102.5156,2765.4666,32.55,101.06072968877491,1.1422978248864575,0.2641563720049933,2.027578639173462,3.4340328360649126,3.439558483176073,0.3809676073820783,28788.9506558401,567042.7372607647,1.0220782276194367,98.87768563875927,1.1176226965983114,0.2584502485883595,1.9837802864620024,3.3598532316486733,3.365259517549147,0.37273820837511157,28167.071636868342,554793.871875626,0.504788927632372,0.09318455209377789,0.3352868089794934,0.07753507457650785,0.29756704296930037,19.775537127751857,1,[[0.72 0.36 0.12]],736984.4576388889,290
